Title,Description
Stocks Higher on Oil Price Relief (Reuters),"Reuters - U.S. stocks gained on Monday, getting\a boost from lower oil prices after news the Venezuelan\president survived a recall eased fears about the country's oil\exports."
Intelsat to Be Bought for  #36;5 Billion (Reuters),"Reuters - Intelsat Ltd., the world's\second-largest satellite operator, said on Monday it agreed to\be bought by a consortium of four private equity firms for  #36;5\billion, including assumption of  #36;2 billion of debt."
Intelsat to Be Bought for \$5 Billion," NEW YORK (Reuters) - Intelsat Ltd., the world's  second-largest satellite operator, said on Monday it agreed to  be bought by a consortium of four private equity firms for \$5  billion, including assumption of \$2 billion of debt."
Stamps.com Asks You to Picture This,The online postage service offers a chance to put personal pictures on official stamps.
Will Schwab Reward Patience?,"The company saw an improvement in its trades, but will this market be kind to the brokerages?"
"Stocks Up, Oil Price Ease Gives Relief"," NEW YORK (Reuters) - U.S. stocks climbed on Monday, getting  a boost from lower oil prices after Venezuela's president  declared he had survived a recall referendum, easing fears  about the country's oil exports."
KMart Posts Profit; Cash Hits \$2.6 Bln," CHICAGO (Reuters) - Kmart Holdings Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=KMRT.O target=/stocks/quickinfo/fullquote""&gt;KMRT.O&lt;/A&gt; on Monday  reported its third consecutive quarterly profit and boosted its  cash pile to \$2.6 billion as it cut spending on advertising and  discounts, sending its stock up 14 percent."
No Respite for Microsoft,European antitrust regulators extend their review of Microsoft-Time Warner deal. Also: Gateway plans to sell desktops at CompUSA   hellip;. Vodafone's Japanese unit headhunts an executive from rival NTT DoCoMo   hellip;. and more.
Overland Bullish on Tech,"Investors are dumping tech stocks with abandon. As for Overland Storage, it is a buyer."
Lowe's Reports 18 Pct. Hike in Profits," ATLANTA (Reuters) - Lowe's Cos. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=LOW.N target=/stocks/quickinfo/fullquote""&gt;LOW.N&lt;/A&gt;, the world's No. 2  home improvement retailer, on Monday reported an 18 percent  increase in second-quarter profit and said earnings for the  rest of the year would top current estimates."
Toymakers' Stocks Hit Lows on Downgrade," NEW YORK (Reuters) - Shares of top toy maker Mattel Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MAT.N target=/stocks/quickinfo/fullquote""&gt;MAT.N&lt;/A&gt; and rival Hasbro Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HAS.N target=/stocks/quickinfo/fullquote""&gt;HAS.N&lt;/A&gt; fell to their lowest  levels at least 14 months on Monday after a downgrade by Lehman  Brothers, which cited deteriorating industry conditions."
U.S. Stocks Rebound as Oil Prices Ease," NEW YORK (Reuters) - U.S. stocks rebounded on Monday as oil  prices retreated from their highs, while upbeat earnings  announcements from retailers fueled the improved sentiment."
Dollar Rises Vs Euro After Asset Data, NEW YORK (Reuters) - The dollar gained against the euro on  Monday after a report on flows into U.S. assets showed enough  of a rise in foreign investments to offset the current account  gap for the month.
Venezuela's Chavez Wins Recall Referendum," CARACAS, Venezuela (Reuters) - Venezuela's left-wing  President Hugo Chavez won a recall referendum on his divisive  rule in a vote backed on Monday by international observers who  found no ""element of fraud."""
Halliburton Says Army Suspends Withhold Threat, WASHINGTON (Reuters) - Halliburton said on Monday the U.S.  Army had decided to give the company more time to resolve a  billing dispute before withholding payment of up to 15 percent  of the company's bills in Iraq and Kuwait.
Belo Takes Charge for Advertising Refunds," NEW YORK (Reuters) - Media company Belo Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=BLC.N target=/stocks/quickinfo/fullquote""&gt;BLC.N&lt;/A&gt; on  Monday said it would refund \$23 million to advertisers because  of a circulation scandal at its Dallas Morning News newspaper,  resulting in a charge against earnings in the current quarter."
LifePoint to Buy Rival for \$1 Bln," NEW YORK (Reuters) - Rural hospital operator LifePoint  Hospitals Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=LPNT.O target=/stocks/quickinfo/fullquote""&gt;LPNT.O&lt;/A&gt; agreed to buy rival Province Healthcare  Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PRV.N target=/stocks/quickinfo/fullquote""&gt;PRV.N&lt;/A&gt; for \$1.03 billion in cash and stock to broaden its  geographic reach, the companies said on Monday."
Venezuela's Chavez Wins Recall Referendum (Reuters),"Reuters - Venezuela's left-wing\President Hugo Chavez won a recall referendum on his divisive\rule in a vote backed on Monday by international observers who\found no ""element of fraud."""
Private Firms to Buy Intelsat for \$3 Bln," PARIS (Reuters) - Four private equity firms plan to buy  Bermuda-based Intelsat for about \$3 billion, the world's  second-largest satellite operator said on Monday."
Taco Bell's Blue Dew,Pepsi pushes a blue version of Mountain Dew only at Taco Bell. Is this a winning strategy?
Executive Compensation,Post staff writer David Hilzenrath and editor Mike Flagg discuss which local executives have the sweetest deals.
Kmart: Retail or Real Estate?,"Lately, the company's retail operation has been lagging behind sales of its locations."
Equity Firms to Buy Intelsat for \$3.1 Bln," PARIS (Reuters) - Intelsat is to be sold to four private  equity firms for \$3.1 billion, the world's second-largest  satellite operator said on Monday."
Halliburton: Army  to Give Company More Time to Resolve Billing Dispute,Halliburton said Monday the U.S. Army had decided to give the company more time to resolve a billing dispute before withholding payment of up to 15 percent of the company's bills in Iraq and Kuwait.
Sysco Profit Rises; Sales Volume Flat," CHICAGO (Reuters) - Sysco Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SYY.N target=/stocks/quickinfo/fullquote""&gt;SYY.N&lt;/A&gt;, the largest U.S.  distributor of food to restaurants and hospitals, on Monday  said quarterly profit rose as an extra week in the period and  cost control measures helped offset the higher food prices that  were slowing demand."
Treasuries Fall as Oil Retreats (Reuters),Reuters - U.S. Treasury debt prices fell on\Monday as investors focused on a pullback in oil prices from\record highs and largely shrugged off dismal results from a\regional manufacturing survey.
"Product Previews, 8/16/2004","Novell brings updated kernel to enterprise LinuxTimed to coincide with this years linuxworld expo, Novell has announced SuSE Linux Enterprise Server 9. Though Novells SuSE division has marketed a commercial Linux distribution based on the v2.6 kernel, this is the first to be granted the more stringently qualified enterprise designation. Besides kernel-level improvements and the usual collection of updated software packages, this release offers improved fail-over, clustering, and resource management and comes bundled with Novells ZENworks configuration management software for Linux. The company claims that its AutoBuild system allows it to offer identical configurations for a variety of platforms, including x86 (both 32- and 64-bit), Itanium, IBM POWER, and IBM mainframes. Free evaluation downloads are available now and support subscriptions start at \$349 per dual-CPU server.SuSE Linux Enterprise Server 9, Novell/SuSE"
Insurers: Charley Claims at About \$7 Bln," NEW YORK (Reuters) - Insurers are braced to pay out about  \$7 billion in claims for devastation caused by Hurricane  Charley, making the storm the second most costly after  Hurricane Andrew, industry and government officials said on  Monday."
